,Player,Game ID,Birds,Bonus cards,End-of-round goals,Eggs,Food on cards,Tucked cards,Nectar,Total,Expansion
31,Bonita,9,29,11,9.0,23,0,4.0,0.0,76.0,Original
32,Marion,9,37,3,12.0,5,0,5.0,0.0,62.0,Original
33,Robena,9,39,14,13.0,11,0,7.0,0.0,84.0,Original
34,Danette,9,44,7,10.0,12,0,6.0,0.0,79.0,Original
35,Dennis,10,41,18,11.0,18,0,0.0,0.0,88.0,Original
36,Danette,10,39,0,13.0,13,0,3.0,0.0,68.0,Original
37,Marion,10,36,4,12.0,16,0,9.0,0.0,77.0,Original
38,Bonita,10,49,14,13.0,33,0,0.0,0.0,109.0,Original
39,Robena,10,38,13,13.0,16,4,8.0,0.0,92.0,Original
40,Robena,11,38,11,10.0,14,1,3.0,0.0,77.0,Original
41,Dennis,11,26,4,10.0,28,0,4.0,0.0,72.0,Original
42,Danette,11,33,7,11.0,7,1,4.0,0.0,63.0,Original
43,Marion,11,33,7,15.0,10,1,5.0,0.0,71.0,Original
